kinetic,[形]運動の、動的な
knell,[名]凶兆
lagoon,[名]潟
lair,[名]ねぐら
laity,[名]平信徒
languid,[形]活気がない、気だるい
lateral,[名]側面
lathe,[名]旋盤
lattice,[名]格子、格子戸
laudable,[形]称賛に値する
lava,[名]溶岩
leaden,[形]鉛色の
ledger,[名]元帳
leech,[名]ヒル
legible,[形]読みやすい
lenient,[形]寛大な
lesion,[名]病変、損傷 損害
lethargic,[形]無気力な
ligament,[名]靭帯、きずな
liquidate,[動]清算する、解散する
lisp,[名]舌足らずの発音
listless,[形]無関心な、ものうげな
lithe,[形]しなやかな
litigant,[名]訴訟当事者
lobe,[名](葉などの)裂片
locus,[名]軌跡
loiter,[動]ぶらつく、ひまどる
longitude,[名]経度
lubricate,[動]油を差す、滑らかにする
lucid,[形]明快な、分かりやすい
lunge,[名]突き、突進
lusty,[形]性欲の強い、好色な
lynx,[名]オオヤマネコ
mackerel,[名]サバ
maggot,[名]ウジ虫
magnate,[名]有力者
malady,[名]病気
malevolent,[形]悪意のある
mane,[名]たてがみ
manipulator,[名]巧みに操作する人
matrimony,[名]結婚、夫婦関係
matron,[名]既婚婦人
membrane,[名]細胞膜
memento,[名]思い出の品
menial,[名]召し使い
mercenary,[名]傭兵
merriment,[名]陽気なお祭り騒ぎ
mirth,[名]歓楽
miscellaneous,[形]種々雑多な、その他の
mite,[名]少量、少々
moat,[名]堀
modulate,[動]調節する
molding,[名]造形
molest,[動]淫らなことをする
monastic,[名]修道士
moot,[動]議題にのせる
morose,[形]不機嫌な、気難しい
mortuary,[名]遺体安置室
muck,[名]ごみ、汚い物
muffle,[動]音を消す
mumps,[名]おたふくかぜ
municipality,[名]自治体、市当局
mutilate,[動]手足を切断する
mutiny,[名]反乱
muzzle,[名]口輪
narcissus,[名]スイセン
naught,[名]無価値
nave,[名]身廊
negate,[動]否定する
nettle,[名]イラクサ
neurosis,[名]ノイローゼ
nil,[名]無
nitrate,[名]硝酸塩
nocturnal,[形]夜行性の
node,[名]節、交点、節点
nomad,[名]遊牧民
nonchalant,[形]無関心な
nondescript,[名]特徴のないもの
nook,[名]隅
nostril,[名]鼻の穴
noxious,[形]有害な
nullify,[動]無効にする、取り消す
obituary,[名]死亡記事
oblique,[名]斜線
obstetrician,[名]産科医
